date,Nascimentos,PIB
25/01/2015,8.096,"4,8052"
26/01/2015,8.096,"4,8052"
27/01/2015,8.096,"4,8052"
28/01/2015,8.096,"4,8052"
29/01/2015,8.096,"4,8052"
30/01/2015,8.096,"4,8052"
31/01/2015,8.096,"4,8052"
01/02/2015,8.433,"5,3116"
02/02/2015,8.433,"5,3116"
03/02/2015,8.433,"5,3116"
04/02/2015,8.433,"5,3116"
05/02/2015,8.433,"5,3116"
06/02/2015,8.433,"5,3116"
07/02/2015,8.433,"5,3116"
08/02/2015,8.433,"5,3116"
09/02/2015,8.433,"5,3116"
10/02/2015,8.433,"5,3116"
11/02/2015,8.433,"5,3116"
12/02/2015,8.433,"5,3116"
13/02/2015,8.433,"5,3116"
14/02/2015,8.433,"5,3116"
15/02/2015,8.433,"5,3116"
16/02/2015,8.433,"5,3116"
17/02/2015,8.433,"5,3116"
18/02/2015,8.433,"5,3116"
19/02/2015,8.433,"5,3116"
20/02/2015,8.433,"5,3116"
21/02/2015,8.433,"5,3116"
22/02/2015,8.433,"5,3116"
23/02/2015,8.433,"5,3116"
24/02/2015,8.433,"5,3116"
25/02/2015,8.433,"5,3116"
26/02/2015,8.433,"5,3116"
27/02/2015,8.433,"5,3116"
28/02/2015,8.433,"5,3116"
01/03/2015,8.818,"4,7703"
02/03/2015,8.818,"4,7703"
03/03/2015,8.818,"4,7703"
04/03/2015,8.818,"4,7703"
05/03/2015,8.818,"4,7703"
06/03/2015,8.818,"4,7703"
07/03/2015,8.818,"4,7703"
08/03/2015,8.818,"4,7703"
09/03/2015,8.818,"4,7703"
10/03/2015,8.818,"4,7703"
11/03/2015,8.818,"4,7703"
12/03/2015,8.818,"4,7703"
13/03/2015,8.818,"4,7703"
14/03/2015,8.818,"4,7703"
15/03/2015,8.818,"4,7703"
16/03/2015,8.818,"4,7703"
17/03/2015,8.818,"4,7703"
18/03/2015,8.818,"4,7703"
19/03/2015,8.818,"4,7703"
20/03/2015,8.818,"4,7703"
21/03/2015,8.818,"4,7703"
22/03/2015,8.818,"4,7703"
23/03/2015,8.818,"4,7703"
24/03/2015,8.818,"4,7703"
25/03/2015,8.818,"4,7703"
26/03/2015,8.818,"4,7703"
27/03/2015,8.818,"4,7703"
28/03/2015,8.818,"4,7703"
29/03/2015,8.818,"4,7703"
30/03/2015,8.818,"4,7703"
31/03/2015,8.818,"4,7703"
01/04/2015,8.665,"4,9036"
02/04/2015,8.665,"4,9036"
03/04/2015,8.665,"4,9036"
04/04/2015,8.665,"4,9036"
05/04/2015,8.665,"4,9036"
06/04/2015,8.665,"4,9036"
07/04/2015,8.665,"4,9036"
08/04/2015,8.665,"4,9036"
09/04/2015,8.665,"4,9036"
10/04/2015,8.665,"4,9036"
11/04/2015,8.665,"4,9036"
12/04/2015,8.665,"4,9036"
13/04/2015,8.665,"4,9036"
14/04/2015,8.665,"4,9036"
15/04/2015,8.665,"4,9036"
16/04/2015,8.665,"4,9036"
17/04/2015,8.665,"4,9036"
18/04/2015,8.665,"4,9036"
19/04/2015,8.665,"4,9036"
20/04/2015,8.665,"4,9036"
21/04/2015,8.665,"4,9036"
22/04/2015,8.665,"4,9036"
23/04/2015,8.665,"4,9036"
24/04/2015,8.665,"4,9036"
25/04/2015,8.665,"4,9036"
26/04/2015,8.665,"4,9036"
27/04/2015,8.665,"4,9036"
28/04/2015,8.665,"4,9036"
29/04/2015,8.665,"4,9036"
30/04/2015,8.665,"4,9036"
01/05/2015,8.519,"4,7086"
02/05/2015,8.519,"4,7086"
03/05/2015,8.519,"4,7086"
04/05/2015,8.519,"4,7086"
05/05/2015,8.519,"4,7086"
06/05/2015,8.519,"4,7086"
07/05/2015,8.519,"4,7086"
08/05/2015,8.519,"4,7086"
09/05/2015,8.519,"4,7086"
10/05/2015,8.519,"4,7086"
11/05/2015,8.519,"4,7086"
12/05/2015,8.519,"4,7086"
13/05/2015,8.519,"4,7086"
14/05/2015,8.519,"4,7086"
15/05/2015,8.519,"4,7086"
16/05/2015,8.519,"4,7086"
17/05/2015,8.519,"4,7086"
18/05/2015,8.519,"4,7086"
19/05/2015,8.519,"4,7086"
20/05/2015,8.519,"4,7086"
21/05/2015,8.519,"4,7086"
22/05/2015,8.519,"4,7086"
23/05/2015,8.519,"4,7086"
24/05/2015,8.519,"4,7086"
25/05/2015,8.519,"4,7086"
26/05/2015,8.519,"4,7086"
27/05/2015,8.519,"4,7086"
28/05/2015,8.519,"4,7086"
29/05/2015,8.519,"4,7086"
30/05/2015,8.519,"4,7086"
31/05/2015,8.519,"4,7086"
01/06/2015,8.264,"4,8550"
02/06/2015,8.264,"4,8550"
03/06/2015,8.264,"4,8550"
04/06/2015,8.264,"4,8550"
05/06/2015,8.264,"4,8550"
06/06/2015,8.264,"4,8550"
07/06/2015,8.264,"4,8550"
08/06/2015,8.264,"4,8550"
09/06/2015,8.264,"4,8550"
10/06/2015,8.264,"4,8550"
11/06/2015,8.264,"4,8550"
12/06/2015,8.264,"4,8550"
13/06/2015,8.264,"4,8550"
14/06/2015,8.264,"4,8550"
15/06/2015,8.264,"4,8550"
16/06/2015,8.264,"4,8550"
17/06/2015,8.264,"4,8550"
18/06/2015,8.264,"4,8550"
19/06/2015,8.264,"4,8550"
20/06/2015,8.264,"4,8550"
21/06/2015,8.264,"4,8550"
22/06/2015,8.264,"4,8550"
23/06/2015,8.264,"4,8550"
24/06/2015,8.264,"4,8550"
25/06/2015,8.264,"4,8550"
26/06/2015,8.264,"4,8550"
27/06/2015,8.264,"4,8550"
28/06/2015,8.264,"4,8550"
29/06/2015,8.264,"4,8550"
30/06/2015,8.264,"4,8550"
01/07/2015,7.991,"4,6908"
02/07/2015,7.991,"4,6908"
03/07/2015,7.991,"4,6908"
04/07/2015,7.991,"4,6908"
05/07/2015,7.991,"4,6908"
06/07/2015,7.991,"4,6908"
07/07/2015,7.991,"4,6908"
08/07/2015,7.991,"4,6908"
09/07/2015,7.991,"4,6908"
10/07/2015,7.991,"4,6908"
11/07/2015,7.991,"4,6908"
12/07/2015,7.991,"4,6908"
13/07/2015,7.991,"4,6908"
14/07/2015,7.991,"4,6908"
15/07/2015,7.991,"4,6908"
16/07/2015,7.991,"4,6908"
17/07/2015,7.991,"4,6908"
18/07/2015,7.991,"4,6908"
19/07/2015,7.991,"4,6908"
20/07/2015,7.991,"4,6908"
21/07/2015,7.991,"4,6908"
22/07/2015,7.991,"4,6908"
23/07/2015,7.991,"4,6908"
24/07/2015,7.991,"4,6908"
25/07/2015,7.991,"4,6908"
26/07/2015,7.991,"4,6908"
27/07/2015,7.991,"4,6908"
28/07/2015,7.991,"4,6908"
29/07/2015,7.991,"4,6908"
30/07/2015,7.991,"4,6908"
31/07/2015,7.991,"4,6908"
01/08/2015,7.706,"4,6652"
02/08/2015,7.706,"4,6652"
03/08/2015,7.706,"4,6652"
04/08/2015,7.706,"4,6652"
05/08/2015,7.706,"4,6652"
06/08/2015,7.706,"4,6652"
07/08/2015,7.706,"4,6652"
08/08/2015,7.706,"4,6652"
09/08/2015,7.706,"4,6652"
10/08/2015,7.706,"4,6652"
11/08/2015,7.706,"4,6652"
12/08/2015,7.706,"4,6652"
13/08/2015,7.706,"4,6652"
14/08/2015,7.706,"4,6652"
15/08/2015,7.706,"4,6652"
16/08/2015,7.706,"4,6652"
17/08/2015,7.706,"4,6652"
18/08/2015,7.706,"4,6652"
19/08/2015,7.706,"4,6652"
20/08/2015,7.706,"4,6652"
21/08/2015,7.706,"4,6652"
22/08/2015,7.706,"4,6652"
23/08/2015,7.706,"4,6652"
24/08/2015,7.706,"4,6652"
25/08/2015,7.706,"4,6652"
26/08/2015,7.706,"4,6652"
27/08/2015,7.706,"4,6652"
28/08/2015,7.706,"4,6652"
29/08/2015,7.706,"4,6652"
30/08/2015,7.706,"4,6652"
31/08/2015,7.706,"4,6652"
